"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"retained_intron"	"sense_intronic"	"sense_overlapping"	"miRNA"	"piRNA"	"rRNA"	"siRNA"	"snRNA"	"snoRNA"	"tRNA"	"vaultRNA"	"macro_lncRNA"	"bidlncRNA"	"processed_transcript"	"misc_RNA"	"transcribed_unprocessed_pseudogene"	"TEC"	"transcribed_unitary_pseudogene"	"unprocessed_pseudogene"
"gen2117 "	" IL1RN "	26802	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2119 "	" WDR33 "	110165	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2121 "	" SAP130 "	86903	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2123 "	" IMP4 "	5585	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2125 "	" UGGT1 "	104477	" protein_coding "	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2127 "	" STAT4 "	122020	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2129 "	" ASNSD1 "	9446	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2131 "	" SSB "	20131	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2133 "	" PPIG "	57066	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2135 "	" HECW2 "	404593	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2137 "	" CIR1 "	47693	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2139 "	" ITGAV "	90836	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2141 "	" CIAO1 "	7217	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2143 "	" SNRNP200 "	31179	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2145 "	" NPHP1 "	82755	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2147 "	" THNSL2 "	16341	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2149 "	" TMEM177 "	7340	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2151 "	" SLC20A1 "	17970	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2153 "	" ZC3H8 "	43611	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2155 "	" LYG1 "	20504	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2157 "	" UBXN4 "	43436	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2159 "	" THSD7B "	912172	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2161 "	" POLR2D "	14606	" protein_coding "	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2163 "	" GALNT13 "	581936	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2165 "	" SCRN3 "	33845	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2167 "	" ZNF385B "	419523	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2169 "	" UBR3 "	256673	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2171 "	" GULP1 "	304262	" protein_coding "	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2173 "	" CCDC150 "	123936	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2175 "	" HNMT "	52344	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2177 "	" INPP1 "	28195	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2179 "	" CCDC74B "	5847	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2181 "	" FAM168B "	45584	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2183 "	" TMEM163 "	263241	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2185 "	" BCL2L11 "	49069	" protein_coding "	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2187 "	" RGPD3 "	77086	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2189 "	" MERTK "	131082	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2191 "	" NR4A2 "	17916	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2193 "	" RBMS1 "	221643	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2195 "	" RMND5A "	57868	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2197 "	" RPIA "	59291	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2199 "	" PROM2 "	16855	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2201 "	" NIFK "	9978	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2203 "	" TTN "	304813	" protein_coding "	1	6	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2205 "	" DUSP2 "	2274	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2207 "	" MITD1 "	19631	" protein_coding "	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2209 "	" CNOT11 "	17514	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2211 "	" FRZB "	33887	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2213 "	" NUP35 "	44167	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2215 "	" CCDC74A "	5991	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2217 "	" NOSTRIN "	78975	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2219 "	" BBS5 "	27477	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2221 "	" ERCC3 "	36886	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2223 "	" IWS1 "	90679	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2225 "	" LINC01116 "	8342	" lincRNA "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2227 "	" KIF5C "	151509	" protein_coding "	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2228 "	" MMADHC "	18182	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2230 "	" COL3A1 "	38426	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2232 "	" FAM178B "	110710	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2234 "	" CNNM3 "	17666	" protein_coding "	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2236 "	" SLC38A11 "	59339	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2237 "	" ZEB2 "	160219	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	NA	NA
"gen2239 "	" LIMS1 "	152891	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2241 "	" MYO7B "	101927	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2243 "	" HNRNPA3 "	11395	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2245 "	" NPAS2 "	176677	" protein_coding "	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2247 "	" TMEM37 "	8619	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2249 "	" EIF2AK3 "	70835	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2251 "	" CD8B "	46585	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2253 "	" SP3 "	59243	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2255 "	" MIR4435-2HG "	486600	" lincRNA "	2	1	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2257 "	" MZT2A "	27843	" protein_coding "	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2259 "	" ANKRD36C "	154912	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2261 "	" LINC01106 "	9304	" lincRNA "	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2263 "	" NCKAP5 "	896664	" protein_coding "	1	3	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2265 "	" ARL6IP6 "	43360	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2267 "	" PRKRA "	20098	" protein_coding "	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2268 "	" FIGN "	142616	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2270 "	" NEB "	249151	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2272 "	" COA5 "	9205	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2274 "	" C2orf76 "	64603	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2276 "	" SEPT10 "	71224	" protein_coding "	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2278 "	" SESTD1 "	163098	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2280 "	" ZC3H6 "	64469	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2282 "	" PAX8-AS1 "	65059	" processed_transcript "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2284 "	" WDSUB1 "	51006	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2286 "	" PRPF40A "	66404	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2288 "	" ARID5A "	15895	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2290 "	" ANKRD36B "	97302	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2292 "	" PGAP1 "	94792	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2294 "	" DPP4 "	82301	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2296 "	" SULT1C4 "	10146	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2298 "	" SOWAHC "	4656	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2300 "	" STK39 "	294121	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2302 "	" POU3F3 "	3063	" protein_coding "	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2304 "	" HNRNPCP2 "	880	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2306 "	" PJVK "	10063	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2308 "	" SP5 "	2727	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2310 "	" MBD5 "	495960	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2312 "	" TBC1D8 "	245249	" protein_coding "	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2314 "	" SNORA70F "	134	" snoRNA "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2316 "	" IGKJ4 "	36	" IG_J_gene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2318 "	" KLHL23 "	82501	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2320 "	" ANKRD39 "	21484	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2322 "	" EEF1A1P12 "	1345	" processed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2324 "	" LINC01124 "	2116	" lincRNA "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2326 "	" CCNT2-AS1 "	183246	" antisense "	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2328 "	" TTC21B-AS1 "	16034	" processed_transcript "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2330 "	" PGM5P4 "	21361	" unprocessed_pseudogene "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2332 "	" DNAJC19P5 "	315	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2334 "	" TMEM185B "	2130	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2336 "	" TEX41 "	595021	" lincRNA "	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2338 "	" C2orf92 "	38847	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2340 "	" STEAP3-AS1 "	4649	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2342 "	" RHOQP3 "	620	" processed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2344 "	" FAHD2CP "	12829	" transcribed_unprocessed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2346 "	" DARS-AS1 "	37417	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2348 "	" RHOQP2 "	578	" processed_pseudogene "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2350 "	" LINC01158 "	45611	" processed_transcript "	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2352 "	" NIFK-AS1 "	78831	" antisense "	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2354 "	" HOXD-AS2 "	15487	" antisense "	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2356 "	" ZEB2-AS1 "	3380	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2358 "	" KLHL41 "	16560	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2360 "	" RPL23AP7 "	16588	" transcribed_processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2362 "	" OSGEPL1-AS1 "	2852	" antisense "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2364 "	" LINC01960 "	1883	" lincRNA "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2366 "	" TBC1D8-AS1 "	3752	" lincRNA "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2368 "	" ALS2 "	80635	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2370 "	" CFLAR "	60583	" protein_coding "	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2372 "	" DLEC1 "	84820	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2374 "	" SLC11A1 "	14865	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2375 "	" CPS1 "	201425	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2376 "	" NDUFS1 "	44786	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2378 "	" SLC4A7 "	111699	" protein_coding "	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2380 "	" NOP58 "	37950	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2382 "	" GPC1 "	32407	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2384 "	" ASB1 "	25508	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2386 "	" HDAC4 "	353486	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2388 "	" LMCD1 "	72966	" protein_coding "	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2390 "	" TRNT1 "	23963	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2391 "	" BCS1L "	4679	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2393 "	" MLH1 "	57586	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2395 "	" RARB "	423600	" protein_coding "	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2397 "	" MAP2 "	310060	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2399 "	" SP140 "	110105	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2401 "	" COL4A4 "	161742	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2403 "	" BZW1 "	16744	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2405 "	" ATG16L1 "	85623	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2407 "	" CMTM6 "	22096	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2409 "	" XYLB "	74588	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2410 "	" CRBN "	35099	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2412 "	" KAT2B "	114381	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2414 "	" WDR48 "	44673	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2416 "	" SLC4A3 "	14653	" protein_coding "	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2418 "	" EEF1B2 "	3343	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2420 "	" PIKFYVE "	92484	" protein_coding "	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2422 "	" ACADL "	37552	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2424 "	" FN1 "	75732	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2426 "	" IGFBP2 "	31608	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2428 "	" EFHD1 "	76724	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2430 "	" HSPE1 "	3463	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2432 "	" ZNF142 "	21739	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen2434 "	" MLPH "	69890	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
