"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"sense_intronic"	"sense_overlapping"	"miRNA"	"rRNA"	"snRNA"	"snoRNA"	"vaultRNA"	"macro_lncRNA"	"unprocessed_pseudogene"	"TEC"	"misc_RNA"	"processed_transcript"	"bidirectional_promoter_lncRNA"	"transcribed_unprocessed_pseudogene"	"unitary_pseudogene"	"transcribed_unitary_pseudogene"	"polymorphic_pseudogene"	"IG_V_gene"	"pseudogene"	"ribozyme"	"sRNA"	"non_coding"	"scaRNA"	"IG_C_pseudogene"
"5956"	"IKZF1"	101033	"protein_coding"	7	4	2	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5958"	"DTX2P1"	25691	"transcribed_unprocessed_pseudogene"	7	2	6	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5960"	"MAGI2"	1436517	"protein_coding"	5	4	4	1	0	1	0	0	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5962"	"PMS2CL"	43734	"transcribed_unprocessed_pseudogene"	14	2	7	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5964"	"ZP3"	44553	"protein_coding"	13	1	6	0	0	0	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5966"	"FZD9"	2337	"protein_coding"	19	0	2	1	0	0	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5968"	"TMEM120A"	7822	"protein_coding"	15	1	6	0	0	0	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5970"	"RNF216P1"	66687	"transcribed_unprocessed_pseudogene"	12	2	3	0	0	5	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5972"	"PPIA"	27884	"protein_coding"	15	3	5	0	0	1	0	1	1	0	1	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5974"	"POM121"	72075	"protein_coding"	9	1	4	1	0	0	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5976"	"VKORC1L1"	86296	"protein_coding"	7	1	6	1	0	1	0	0	0	0	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5978"	"HOXA4"	2292	"protein_coding"	15	7	9	0	0	4	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5980"	"CARD11"	137804	"protein_coding"	10	2	1	1	0	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5982"	"TYW1"	244346	"protein_coding"	6	1	8	0	0	5	1	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5984"	"SNORA5C"	136	"snoRNA"	11	3	4	0	0	2	0	1	1	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5986"	"SPDYE18"	7727	"unprocessed_pseudogene"	5	1	6	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5988"	"STAG3L1"	36189	"transcribed_unprocessed_pseudogene"	10	2	3	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5990"	"ZNF316"	19110	"protein_coding"	14	2	6	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5992"	"SNORA5A"	133	"snoRNA"	11	3	4	0	0	2	0	1	1	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5994"	"ERV3-1"	15934	"protein_coding"	7	1	17	0	0	2	0	0	1	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5996"	"FAM185BP"	38329	"transcribed_unprocessed_pseudogene"	5	1	6	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5998"	"ZNF727"	33106	"protein_coding"	6	1	18	1	0	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6000"	"POLR2J4"	78280	"processed_transcript"	20	1	4	0	0	2	0	1	3	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6001"	"ISPD"	333795	"protein_coding"	9	1	0	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6003"	"RPL23P8"	427	"processed_pseudogene"	3	1	6	0	0	1	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6005"	"NSUN5P1"	6465	"transcribed_unprocessed_pseudogene"	11	2	3	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6007"	"ELMO1-AS1"	15834	"antisense"	2	3	3	0	0	3	1	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6009"	"RPL35P5"	369	"processed_pseudogene"	9	2	9	1	0	2	1	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6011"	"ELFN1"	59835	"protein_coding"	10	3	1	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6013"	"GTF2IP14"	16129	"unprocessed_pseudogene"	6	1	13	0	0	2	0	0	1	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6015"	"TRGC2"	9992	"TR_C_gene"	7	1	4	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6017"	"DPY19L2P3"	92367	"transcribed_unprocessed_pseudogene"	9	4	3	2	0	1	2	1	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6019"	"CCT6P1"	12212	"transcribed_unprocessed_pseudogene"	7	1	7	0	0	2	0	0	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6021"	"HNRNPCP7"	904	"processed_pseudogene"	11	2	19	0	0	1	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6023"	"RASA4CP"	14941	"transcribed_unprocessed_pseudogene"	20	0	4	0	0	2	0	1	3	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6025"	"MEOX2-AS1"	7113	"lincRNA"	3	1	1	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6027"	"AK3P3"	663	"processed_pseudogene"	11	1	10	0	0	3	0	1	0	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6029"	"PSMG3-AS1"	19553	"lincRNA"	11	6	1	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6031"	"KLHL7-AS1"	4475	"lincRNA"	11	1	9	0	0	3	0	1	0	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6033"	"ELN-AS1"	2708	"antisense"	18	1	0	0	0	1	1	0	2	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6035"	"SNHG15"	3938	"lincRNA"	14	3	5	0	0	2	0	1	1	0	1	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6037"	"HOTAIRM1"	4618	"antisense"	15	7	9	0	0	4	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6039"	"EEF1A1P6"	1383	"processed_pseudogene"	5	3	4	0	0	1	0	1	0	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6041"	"ZNF736"	47401	"protein_coding"	8	1	22	1	0	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6043"	"FAM133B"	29601	"protein_coding"	11	3	1	0	0	0	0	1	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6045"	"LINC00957"	3135	"lincRNA"	20	0	4	0	0	2	0	1	3	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6047"	"GABPAP"	1355	"processed_pseudogene"	5	1	18	1	0	6	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6049"	"ZNF853"	8673	"protein_coding"	14	2	6	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6051"	"AQP1"	13822	"protein_coding"	14	2	4	1	0	4	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6053"	"YAE1D1"	43944	"protein_coding"	4	5	7	0	0	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6055"	"INMT"	59617	"protein_coding"	14	2	4	1	0	3	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6057"	"AP5Z1"	18690	"protein_coding"	9	0	3	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6058"	"KCTD7"	20300	"protein_coding"	7	1	2	1	0	2	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6060"	"HOXA10-AS"	3296	"antisense"	15	7	9	0	0	3	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6062"	"HOXA-AS2"	26525	"antisense"	15	7	9	0	0	4	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6064"	"MTDHP1"	783	"processed_pseudogene"	7	1	18	0	0	1	0	0	1	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6066"	"GTF2IP13"	46158	"transcribed_unprocessed_pseudogene"	4	0	7	0	0	5	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6068"	"TMEM176A"	4717	"protein_coding"	36	6	8	0	0	1	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6070"	"PDK4"	12992	"protein_coding"	7	3	2	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6072"	"ST7"	276865	"protein_coding"	9	9	9	0	0	1	1	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6074"	"PRKAR2B"	117162	"protein_coding"	9	3	3	0	0	3	0	1	0	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6076"	"BAIAP2L1"	109417	"protein_coding"	10	1	9	0	0	0	0	0	3	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6078"	"AGK"	104055	"protein_coding"	14	4	7	0	0	2	1	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6080"	"SYPL1"	22073	"protein_coding"	5	1	3	0	0	1	0	1	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6082"	"UBE3C"	130459	"protein_coding"	7	4	4	0	0	8	1	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6084"	"ABCF2"	14740	"protein_coding"	28	5	3	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6086"	"MYOM2"	120512	"protein_coding"	6	2	2	0	0	10	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6088"	"ARHGEF5"	25344	"protein_coding"	18	3	4	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6090"	"KMT2C"	301083	"protein_coding"	6	3	7	1	0	1	0	0	0	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6092"	"PARP12"	39977	"protein_coding"	9	0	4	0	0	0	0	0	0	2	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6094"	"TNPO3"	100993	"protein_coding"	19	2	15	1	0	3	0	0	0	2	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6096"	"ASNS"	20424	"protein_coding"	8	1	7	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6098"	"BCAP29"	49193	"protein_coding"	12	5	4	0	0	0	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6099"	"CTTNBP2"	163488	"protein_coding"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6101"	"PMS2P1"	20916	"unprocessed_pseudogene"	45	7	2	0	0	1	0	0	5	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6103"	"FDFT1"	43736	"protein_coding"	17	6	7	1	0	4	1	0	0	2	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6105"	"CADPS2"	568334	"protein_coding"	8	2	7	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6107"	"PILRA"	32569	"protein_coding"	48	7	2	0	0	1	0	0	6	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6109"	"TRIP6"	6316	"protein_coding"	42	7	3	0	0	2	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6111"	"SRRT"	13553	"protein_coding"	41	7	3	0	0	2	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6113"	"NDUFB2"	32013	"protein_coding"	9	1	6	0	0	0	0	0	0	2	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6115"	"NRCAM"	309094	"protein_coding"	10	3	3	0	0	3	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6117"	"DLD"	40760	"protein_coding"	11	4	4	0	0	0	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6119"	"ZC3HC1"	33165	"protein_coding"	13	6	1	0	0	3	0	0	4	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6121"	"ERI1"	114599	"protein_coding"	5	2	3	1	0	12	0	0	1	0	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6123"	"ERICH1"	123360	"protein_coding"	6	3	3	1	0	5	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6125"	"RASA4"	42950	"protein_coding"	26	3	3	0	0	0	0	1	4	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6127"	"DNAJC2"	32399	"protein_coding"	10	2	5	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6129"	"PIK3CG"	41867	"protein_coding"	5	1	0	0	0	3	0	1	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6131"	"PON2"	30466	"protein_coding"	7	3	4	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6133"	"DUS4L"	14980	"protein_coding"	12	5	4	0	0	0	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6135"	"CBLL1"	17970	"protein_coding"	11	4	4	0	0	0	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6137"	"MTPN"	50592	"protein_coding"	7	2	4	0	0	2	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6139"	"ZC3HAV1"	66199	"protein_coding"	15	1	10	0	0	0	0	0	0	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6141"	"TFEC"	224748	"protein_coding"	4	4	1	0	0	4	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6143"	"CAV1"	36399	"protein_coding"	7	6	2	0	0	1	1	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6145"	"RNF32"	36849	"protein_coding"	5	2	3	0	0	8	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6147"	"WNT2"	46658	"protein_coding"	7	6	9	0	0	0	1	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6149"	"VIPR2"	116782	"protein_coding"	5	2	2	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6151"	"SSBP1"	49601	"protein_coding"	15	4	6	0	0	3	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6153"	"EPHB6"	16033	"protein_coding"	18	3	3	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6155"	"NPTX2"	12571	"protein_coding"	9	1	4	0	0	0	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6157"	"BUD31"	10975	"protein_coding"	27	2	3	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6159"	"CYP3A5"	31832	"protein_coding"	41	5	3	0	0	0	0	0	4	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6161"	"TAF6"	12771	"protein_coding"	43	7	3	0	0	1	0	0	5	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6163"	"TFR2"	22363	"protein_coding"	42	8	3	0	0	1	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6165"	"PCOLCE"	5998	"protein_coding"	43	8	3	0	0	1	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6167"	"RBM28"	46223	"protein_coding"	14	0	11	0	0	5	0	0	2	2	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6169"	"AGFG2"	29008	"protein_coding"	47	8	3	0	0	1	0	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6171"	"AP1S1"	7196	"protein_coding"	28	4	3	0	0	2	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6173"	"ZNHIT1"	6522	"protein_coding"	24	4	3	0	0	2	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6175"	"NRF1"	145368	"protein_coding"	12	4	4	0	0	2	0	0	3	2	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6176"	"EZH2"	76938	"protein_coding"	10	1	1	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6177"	"CEP41"	48662	"protein_coding"	10	3	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6179"	"MEST"	20294	"protein_coding"	13	6	5	0	0	7	0	0	3	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6181"	"CHCHD3"	297220	"protein_coding"	3	3	3	0	0	1	0	0	2	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6183"	"TMEM176B"	10075	"protein_coding"	36	6	8	0	0	1	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6184"	"RHEB"	54108	"protein_coding"	17	5	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6186"	"ESYT2"	99258	"protein_coding"	5	2	2	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6188"	"KIAA1549"	149937	"protein_coding"	13	1	11	0	0	0	0	0	0	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6190"	"C7orf49"	78432	"protein_coding"	10	2	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6192"	"WDR60"	100169	"protein_coding"	5	2	2	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6194"	"TAS2R5"	1150	"protein_coding"	15	4	6	0	0	3	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6196"	"SEM1"	228265	"protein_coding"	6	1	5	0	0	0	0	0	1	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6198"	"POT1"	107597	"protein_coding"	4	2	6	0	0	4	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6200"	"LSM8"	8792	"protein_coding"	4	0	1	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6202"	"PRKRIP1"	62804	"protein_coding"	23	2	2	0	0	0	1	1	4	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6204"	"FOXP2"	607445	"protein_coding"	3	1	2	0	0	2	1	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6206"	"IFT22"	8456	"protein_coding"	23	4	3	0	0	2	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6208"	"DNAJB9"	5282	"protein_coding"	5	0	3	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6210"	"LRRC4"	5036	"protein_coding"	12	1	3	0	0	3	0	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6212"	"CCDC136"	31375	"protein_coding"	20	2	15	1	0	3	0	0	0	2	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6214"	"IRF5"	12423	"protein_coding"	18	2	14	1	0	3	0	0	0	2	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6216"	"KLHDC10"	65210	"protein_coding"	13	6	1	0	0	3	0	0	4	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
