"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"sense_intronic"	"sense_overlapping"	"miRNA"	"rRNA"	"snRNA"	"snoRNA"	"vaultRNA"	"macro_lncRNA"	"unprocessed_pseudogene"	"TEC"	"misc_RNA"	"processed_transcript"	"bidirectional_promoter_lncRNA"	"transcribed_unprocessed_pseudogene"	"unitary_pseudogene"	"transcribed_unitary_pseudogene"	"polymorphic_pseudogene"	"IG_V_gene"	"pseudogene"	"ribozyme"	"sRNA"	"non_coding"	"scaRNA"	"IG_C_pseudogene"	"3prime_overlapping_ncRNA"
"1659"	"USP34"	283306	"protein_coding"	11	2	13	0	1	2	1	0	0	1	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1661"	"GGCX"	16824	"protein_coding"	20	2	7	0	0	3	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1663"	"GNLY"	13679	"protein_coding"	21	3	5	0	0	2	1	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1664"	"ST3GAL5"	68079	"protein_coding"	21	2	1	0	0	2	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1666"	"CHMP3"	60048	"protein_coding"	14	2	3	0	0	0	0	0	1	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1668"	"ID2"	5608	"protein_coding"	3	1	3	0	0	8	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1670"	"HPCAL1"	124728	"protein_coding"	12	3	1	0	0	12	0	0	1	0	2	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1671"	"ODC1"	8536	"protein_coding"	9	2	0	0	0	6	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1673"	"NOL10"	119221	"protein_coding"	12	1	2	0	0	10	0	0	1	0	2	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1675"	"CEBPZ"	30101	"protein_coding"	12	1	2	0	0	1	1	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1677"	"QPCT"	28748	"protein_coding"	11	1	3	0	0	3	1	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1679"	"SRSF7"	7895	"protein_coding"	11	4	5	1	0	2	1	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1681"	"SLC1A4"	35388	"protein_coding"	7	1	6	0	0	7	1	0	1	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1682"	"SOS1"	142949	"protein_coding"	10	2	2	0	0	1	2	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1684"	"PNO1"	18394	"protein_coding"	10	3	3	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1686"	"THADA"	365210	"protein_coding"	11	1	4	0	0	5	0	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1688"	"C2orf42"	98735	"protein_coding"	14	3	5	0	0	3	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1690"	"PCYOX1"	23805	"protein_coding"	14	3	5	0	0	2	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1692"	"VAX2"	64783	"protein_coding"	16	5	3	0	0	3	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1694"	"MSH6"	114571	"protein_coding"	5	2	7	0	0	3	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1696"	"ALMS1"	225035	"protein_coding"	19	2	2	0	0	2	2	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1697"	"COLEC11"	49812	"protein_coding"	7	3	0	0	0	2	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1699"	"HS1BP3"	90641	"protein_coding"	8	0	4	0	0	7	1	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1701"	"WDR35"	79871	"protein_coding"	7	1	3	0	0	8	0	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1703"	"CPSF3"	49533	"protein_coding"	9	1	4	0	0	8	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1705"	"GPR75"	7076	"protein_coding"	9	0	4	0	0	1	0	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1707"	"KLHL29"	323394	"protein_coding"	13	3	3	0	0	6	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1708"	"DNMT3A"	114735	"protein_coding"	10	3	1	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1710"	"ATAD2B"	178450	"protein_coding"	13	4	5	0	0	5	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1712"	"ATL2"	82405	"protein_coding"	9	5	6	1	0	6	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1714"	"FAM98A"	15724	"protein_coding"	3	1	3	1	0	2	0	0	1	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1716"	"AFTPH"	68700	"protein_coding"	7	3	5	0	0	10	0	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1718"	"CNRIP1"	35880	"protein_coding"	11	3	3	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1720"	"STAMBP"	44743	"protein_coding"	15	2	6	0	0	4	2	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1722"	"MCEE"	20555	"protein_coding"	15	4	3	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1724"	"SNRNP27"	12015	"protein_coding"	13	2	7	0	0	3	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1726"	"PXDN"	112965	"protein_coding"	4	5	0	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1728"	"PTCD3"	35975	"protein_coding"	15	3	1	0	0	2	0	0	2	0	2	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1730"	"MRPL35"	14439	"protein_coding"	11	3	0	0	0	2	0	0	2	0	2	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1732"	"KIDINS220"	116549	"protein_coding"	4	1	4	0	0	8	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1734"	"ROCK2"	168569	"protein_coding"	11	2	5	0	0	10	1	0	3	2	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1736"	"LPIN1"	149814	"protein_coding"	6	2	3	0	0	5	1	0	4	2	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1738"	"IAH1"	22885	"protein_coding"	9	1	4	0	0	8	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1740"	"SEMA4F"	29625	"protein_coding"	29	4	7	0	0	5	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1742"	"RAB11FIP5"	83339	"protein_coding"	13	1	1	0	0	0	2	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1744"	"DYSF"	233046	"protein_coding"	13	2	2	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1746"	"IFT172"	45418	"protein_coding"	39	6	3	0	0	1	1	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1748"	"CGREF1"	20226	"protein_coding"	36	7	4	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1750"	"KHK"	14025	"protein_coding"	36	7	4	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1752"	"PPM1B"	76415	"protein_coding"	10	1	3	0	0	0	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1754"	"DYNC2LI1"	35971	"protein_coding"	9	1	3	0	0	0	0	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1756"	"THUMPD2"	43207	"protein_coding"	4	2	1	0	0	0	1	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1758"	"RAB1A"	59405	"protein_coding"	7	1	6	0	0	7	1	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1760"	"PREB"	3919	"protein_coding"	38	7	4	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1762"	"PREPL"	45581	"protein_coding"	7	1	2	0	0	0	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1764"	"FBXO11"	116477	"protein_coding"	6	2	7	0	0	2	0	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1766"	"CENPO"	29240	"protein_coding"	9	3	4	0	0	0	0	0	0	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1767"	"LRPPRC"	109497	"protein_coding"	11	1	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1769"	"ACP1"	14143	"protein_coding"	5	3	0	0	0	13	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1771"	"OSR1"	7168	"protein_coding"	1	0	1	0	0	4	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1773"	"RHOB"	2371	"protein_coding"	9	1	4	0	0	7	1	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1775"	"HNRNPLL"	41608	"protein_coding"	11	6	6	1	0	5	1	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1777"	"CAMKMT"	410642	"protein_coding"	8	1	3	0	0	5	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1779"	"CALM2"	16519	"protein_coding"	9	5	0	0	0	6	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1781"	"RPS27A"	3950	"protein_coding"	9	4	2	0	0	0	0	0	0	0	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1783"	"VPS54"	126926	"protein_coding"	6	2	7	1	0	5	0	0	2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1785"	"ETAA1"	14770	"protein_coding"	1	0	0	0	0	9	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1787"	"ABHD1"	7023	"protein_coding"	38	7	4	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1789"	"ANKRD53"	7119	"protein_coding"	16	4	3	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1791"	"EXOC6B"	650057	"protein_coding"	13	1	2	0	0	0	0	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1793"	"TEX261"	9007	"protein_coding"	16	4	3	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1795"	"CRIM1"	195209	"protein_coding"	5	1	2	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1797"	"PIGF"	36182	"protein_coding"	12	7	1	0	0	6	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1799"	"ASAP2"	198918	"protein_coding"	9	1	4	0	0	7	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1801"	"NBAS"	394421	"protein_coding"	3	3	2	0	0	6	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1803"	"GEMIN6"	33466	"protein_coding"	11	4	5	1	0	2	1	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1805"	"TCF7L1"	176978	"protein_coding"	21	1	10	0	0	1	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1807"	"ZFP36L2"	4207	"protein_coding"	7	1	3	0	0	5	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1809"	"SLC30A6"	58538	"protein_coding"	8	2	3	0	0	4	3	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1811"	"GAREM2"	16572	"protein_coding"	13	1	12	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1813"	"BABAM2"	448960	"protein_coding"	19	4	6	0	0	4	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1815"	"HK2"	59378	"protein_coding"	27	4	6	0	0	4	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1816"	"NLRP3"	32952	"protein_coding"	9	0	3	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA
"1818"	"PPP1R21"	74793	"protein_coding"	8	0	3	1	0	3	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1820"	"OXER1"	1780	"protein_coding"	8	1	6	0	0	5	0	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1822"	"REL"	50089	"protein_coding"	8	1	8	0	1	3	1	0	1	1	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1824"	"PEX13"	34765	"protein_coding"	9	1	8	0	1	2	1	0	0	1	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1826"	"MEMO1"	146170	"protein_coding"	9	3	4	0	0	4	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1828"	"PQLC3"	23676	"protein_coding"	11	0	5	0	0	10	0	0	1	2	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1830"	"PRORSD1P"	2203	"transcribed_unitary_pseudogene"	9	3	2	0	0	0	0	0	0	0	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1832"	"FBXO41"	29749	"protein_coding"	16	1	1	0	0	1	2	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1834"	"WDCP"	20235	"protein_coding"	14	3	5	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1836"	"BOLA3"	12596	"protein_coding"	34	5	8	0	0	4	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1838"	"DHX57"	78205	"protein_coding"	11	4	4	1	0	2	2	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1840"	"TGFA"	106913	"protein_coding"	17	6	6	0	0	3	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1842"	"UCN"	1045	"protein_coding"	38	6	3	0	0	1	1	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1844"	"SLC4A1AP"	31505	"protein_coding"	27	2	4	0	0	1	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1846"	"SPDYA"	68094	"protein_coding"	11	5	2	0	0	3	1	0	0	1	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1848"	"ATOH8"	36722	"protein_coding"	23	3	5	0	0	2	0	0	2	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1850"	"C2orf68"	5412	"protein_coding"	20	2	5	0	0	2	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1852"	"RNF181"	1888	"protein_coding"	19	2	6	0	0	2	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1854"	"MAT2A"	6115	"protein_coding"	20	2	7	0	0	3	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1856"	"GCSAML"	70632	"protein_coding"	30	2	9	0	0	3	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1858"	"NFU1"	41878	"protein_coding"	10	0	5	0	0	1	0	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1859"	"ANTXR1"	236149	"protein_coding"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1861"	"UGP2"	50622	"protein_coding"	5	1	6	1	0	4	0	0	2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1863"	"B3GNT2"	28618	"protein_coding"	6	3	11	0	0	1	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1865"	"ACYP2"	334462	"protein_coding"	11	4	5	0	0	1	0	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1867"	"FOXN2"	64657	"protein_coding"	8	1	4	1	0	3	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1869"	"TRMT61B"	20480	"protein_coding"	10	4	1	0	0	3	1	0	0	1	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1871"	"SOCS5"	64177	"protein_coding"	12	6	1	0	0	8	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1873"	"ZNF692"	9138	"protein_coding"	19	2	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1875"	"KCNK3"	40730	"protein_coding"	26	5	2	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1877"	"RPS7"	5714	"protein_coding"	9	5	1	0	0	6	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1879"	"KLF11"	11987	"protein_coding"	10	2	1	0	0	11	0	0	1	0	1	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1881"	"LCLAT1"	196999	"protein_coding"	5	2	3	0	0	1	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1883"	"AHSA2P"	13785	"transcribed_unitary_pseudogene"	8	1	10	0	1	2	1	0	0	1	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1885"	"SH3BP5L"	16187	"protein_coding"	21	2	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1887"	"CCDC121"	3373	"protein_coding"	31	2	4	0	0	1	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1889"	"GEN1"	35083	"protein_coding"	6	0	2	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1891"	"PCBP1-AS1"	140957	"processed_transcript"	13	2	7	0	0	3	1	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1893"	"MCFD2"	39985	"protein_coding"	13	6	0	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1895"	"SLC8A1"	513783	"protein_coding"	3	2	1	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1897"	"PTRHD1"	3648	"protein_coding"	9	3	4	0	0	0	0	0	0	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1899"	"TRABD2A"	85358	"protein_coding"	10	1	8	0	0	2	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1901"	"TET3"	121772	"protein_coding"	35	5	6	0	0	4	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1903"	"ALKAL2"	9293	"protein_coding"	5	3	0	0	0	14	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1905"	"GREB1"	160447	"protein_coding"	7	2	4	0	0	6	1	0	3	2	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1907"	"C1D"	69818	"protein_coding"	9	3	3	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1909"	"FAM49A"	116872	"protein_coding"	1	1	2	0	0	11	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1911"	"GFPT1"	67485	"protein_coding"	10	1	5	0	0	2	0	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1913"	"GPN1"	23261	"protein_coding"	31	2	4	0	0	1	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
